,Age,Income,SpendingScore,Savings
0,58,77769,0.7913287771988531,6559.829923004832
1,59,81799,0.7910820467274178,5417.661426197439
2,62,74751,0.7026569520102857,9258.992965034067
3,59,74373,0.7656795619984281,7346.334503537976
4,87,17760,0.3487775484305074,16869.507130301474
5,29,131578,0.847034102512837,3535.5143522162816
6,54,76500,0.7851978501165687,6878.884248553975
7,87,42592,0.3552896820382759,18086.287157859304
8,83,34384,0.3247186821733416,14783.3790857945
9,84,27693,0.3670629731870412,17879.558905551898
10,85,111389,0.0367953622110323,16009.237762922365
11,36,99780,0.2654326074020303,16398.40133318453
12,30,99949,0.3446792235097859,13621.63972633141
13,31,107963,0.2905086327499087,13407.081391032512
14,61,71933,0.8441067966472876,8022.208541100705
15,92,122879,0.0607240352184939,13709.670274517475
16,55,71621,0.753342683616619,7780.589913955976
17,87,31481,0.317423970601333,16180.68808203422
18,82,33636,0.3717829785401914,17866.83359752812
19,88,120678,0.0632728512966028,14264.473846639945
20,30,101073,0.3143871202044516,14324.555977118507
21,84,122696,0.0821868319247355,13809.734086698068
22,53,76667,0.7600576501232099,5168.225474983632
23,91,22672,0.2710645345158168,15407.646761130874
24,89,119697,0.0916792017028315,16215.399076555512
25,30,122788,0.8728724057273831,5706.149573297764
26,17,134966,0.9072421746334024,4128.044795832437
27,55,78761,0.8271741985123882,8376.74947779104
28,90,37503,0.3577883144645876,17258.57497274541
29,61,76955,0.777117564607447,7467.0367023144945
30,59,65700,0.8114711740198254,6932.487932327357
31,59,69738,0.742112121715572,7151.650866065036
32,88,17851,0.2898659849627828,17472.470686173863
33,56,63866,0.7618879582513512,7762.255066659052
34,33,101058,0.3150815497840024,14911.868398206978
35,61,74117,0.7702140596767938,5103.609230428381
36,84,20704,0.3794963151514172,16816.911895743782
37,61,63846,0.8278622414878984,7283.504772674617
38,39,100540,0.3849229829012918,16741.013894847743
39,31,111449,0.2941062030828216,13929.62155143948
40,60,70012,0.7944610508231513,7263.242447729872
41,87,23042,0.3663120107544869,18149.035872923057
42,20,129142,0.8870519941988757,5603.121027746489
43,57,75332,0.7215024376129366,6845.056822204781
44,61,73245,0.811160373170345,7413.784487271214
45,18,130813,0.890891247267583,5256.434559627984
46,83,119429,0.0421548010785584,15607.561541234569
47,25,138021,0.944017175810026,3005.577482475175
48,31,101481,0.2702350511848681,15226.614133627569
49,55,74356,0.7998269700906482,6484.630737953293
50,84,18244,0.2926633744644019,17815.348406878897
51,36,98137,0.297401293159654,15978.332837131276
52,27,121468,0.9206489879585448,5011.112062373317
53,91,24370,0.2963285713632805,16141.048981383728
54,53,62117,0.7331388477995737,7500.452413594261
55,91,26917,0.3767135304583465,17986.618644605885
56,25,101503,0.2884688560740983,15026.262148820157
57,83,28727,0.3082630418510537,18205.33626089001
58,87,23322,0.3068211973464496,16131.267659393412
59,90,33188,0.2488100687902313,15866.913937696345
60,83,33170,0.2410777442746463,16620.010473689304
61,83,23206,0.3212403632065312,16870.672003783384
62,83,30721,0.3311418077630257,17705.99238527814
63,61,69001,0.8216687745413516,5074.12121172259
64,64,60493,0.7680563479442216,7708.112609459161
65,62,69741,0.8462196017575947,5781.658046536959
66,91,25886,0.3017537675837046,17266.045729118025
67,28,123153,0.9842407862639496,3697.51364538533
68,23,126500,0.8650328592458483,3270.1504344070872
69,55,71056,0.7565897119333272,7464.163256732262
70,58,74340,0.7351650452097145,7259.540921675671
71,31,110882,0.3252806065281125,14004.61374291491
72,83,34529,0.3172075114569807,16517.208746949746
73,91,36991,0.2685979050949867,19047.77233878285
74,30,107302,0.2396771776819925,13993.24401848172
75,57,79470,0.7734352958312237,6773.04908977712
76,33,98033,0.3095111158545869,15774.690605560643
77,59,72588,0.8017156979122673,6300.8437570950255
78,58,77101,0.7667195837506832,8148.49184821177
79,29,122264,0.8985788437238403,2494.55627432471
80,59,74576,0.7812961239072382,10547.775367695343
81,84,114406,0.1238383746409725,16840.570583774286
82,64,88361,0.7745562258521365,7240.759687480846
83,87,26045,0.3752921226023747,15903.558359374923
84,88,33303,0.3997156855452149,15232.598068845287
85,35,104678,0.3279928581002429,15422.055799721802
86,34,104284,0.3445454117798671,13541.801770810564
87,58,70798,0.7535283874245788,5330.73989989779
88,56,86484,0.7321233689266612,8777.496176839057
89,63,85761,0.8005979105724924,7175.090218501248
90,58,70259,0.7697129169369328,7101.674514204499
91,60,79969,0.812104912914789,4879.334872972362
92,24,136644,0.8716976842508705,1617.2257000775644
93,94,28352,0.3768757353168557,16798.886114738052
94,58,69879,0.7209986871945887,6669.033518051874
95,25,130934,0.9137660194970426,3942.389134492165
96,36,101811,0.3406667947415742,15048.89961242685
97,62,73480,0.7391949797931453,6277.675150528886
